Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT1,24,Time,7.197978496551514
MOEAD,ZDT1,25,Time,7.323030233383179
MOEAD,ZDT1,26,Time,7.502010822296143
MOEAD,ZDT1,27,Time,7.637027025222778
MOEAD,ZDT1,28,Time,7.27402925491333
MOEAD,ZDT1,29,Time,7.45099949836731
MOEAD,ZDT1,3,Time,7.216026544570923
MOEAD,ZDT1,4,Time,7.110996961593628
MOEAD,ZDT1,5,Time,7.219998836517334
MOEAD,ZDT1,6,Time,7.333999872207642
MOEAD,ZDT1,7,Time,7.2630298137664795
MOEAD,ZDT1,8,Time,8.014001846313477
MOEAD,ZDT1,9,Time,7.139030933380127
MOEAD,ZDT2,0,GD,0.46796597210578866
MOEAD,ZDT2,0,EP,1.1245383906350943
MOEAD,ZDT2,0,HV,0.0
MOEAD,ZDT2,1,GD,0.4162392236548641
MOEAD,ZDT2,1,EP,0.7730362369948596
MOEAD,ZDT2,1,HV,0.008008049664302129
MOEAD,ZDT2,10,GD,0.43859971261203684
MOEAD,ZDT2,10,EP,1.3785475673927616
MOEAD,ZDT2,10,HV,0.0
MOEAD,ZDT2,11,GD,0.3208912952311357
MOEAD,ZDT2,11,EP,1.2773329294804578
MOEAD,ZDT2,11,HV,0.0
MOEAD,ZDT2,12,GD,0.3921790145239092
MOEAD,ZDT2,12,EP,1.2372224391043039
MOEAD,ZDT2,12,HV,0.0
MOEAD,ZDT2,13,GD,0.44150009783911437
MOEAD,ZDT2,13,EP,1.216582099675348
MOEAD,ZDT2,13,HV,0.0
MOEAD,ZDT2,14,GD,0.32890956958135276
MOEAD,ZDT2,14,EP,0.9741305711263727
MOEAD,ZDT2,14,HV,0.0
MOEAD,ZDT2,15,GD,0.2991433643145947
MOEAD,ZDT2,15,EP,0.6762114845328165
MOEAD,ZDT2,15,HV,0.03998089679152849
MOEAD,ZDT2,16,GD,0.46031902884920906
MOEAD,ZDT2,16,EP,1.4005601414471975
MOEAD,ZDT2,16,HV,0.0
MOEAD,ZDT2,17,GD,0.3655978617518744
MOEAD,ZDT2,17,EP,1.260601716099341
MOEAD,ZDT2,17,HV,0.0
MOEAD,ZDT2,18,GD,0.3054100078727632
MOEAD,ZDT2,18,EP,1.269957235893229
MOEAD,ZDT2,18,HV,0.0
MOEAD,ZDT2,19,GD,0.5276120647911697
MOEAD,ZDT2,19,EP,1.182913805394143
MOEAD,ZDT2,19,HV,0.0
MOEAD,ZDT2,2,GD,0.36239580334539767
MOEAD,ZDT2,2,EP,1.3015505671567555
MOEAD,ZDT2,2,HV,0.0
MOEAD,ZDT2,20,GD,0.44775472518585746
MOEAD,ZDT2,20,EP,1.404195070148122
MOEAD,ZDT2,20,HV,0.0
MOEAD,ZDT2,21,GD,0.5491275938738872
MOEAD,ZDT2,21,EP,1.161918157235828
MOEAD,ZDT2,21,HV,0.0
MOEAD,ZDT2,22,GD,0.41505168202284154
MOEAD,ZDT2,22,EP,1.3313496118224133
MOEAD,ZDT2,22,HV,0.0
MOEAD,ZDT2,23,GD,0.536167784391817
MOEAD,ZDT2,23,EP,1.4818360740944219
MOEAD,ZDT2,23,HV,0.0
MOEAD,ZDT2,24,GD,0.4343714128105336
MOEAD,ZDT2,24,EP,1.3715589491863363
MOEAD,ZDT2,24,HV,0.0
MOEAD,ZDT2,25,GD,0.406453596443948
MOEAD,ZDT2,25,EP,0.873975375621767
MOEAD,ZDT2,25,HV,0.006179549986958311
MOEAD,ZDT2,26,GD,0.41077303826802464
MOEAD,ZDT2,26,EP,1.133349614610622
MOEAD,ZDT2,26,HV,0.0
MOEAD,ZDT2,27,GD,0.2859428495882073
MOEAD,ZDT2,27,EP,1.1101538510111233
MOEAD,ZDT2,27,HV,0.0
MOEAD,ZDT2,28,GD,0.25852725076675265
MOEAD,ZDT2,28,EP,1.165133093236506
MOEAD,ZDT2,28,HV,0.0
MOEAD,ZDT2,29,GD,0.5525040660172512
MOEAD,ZDT2,29,EP,1.205445930365161
MOEAD,ZDT2,29,HV,0.0
MOEAD,ZDT2,3,GD,0.6270559034110778
MOEAD,ZDT2,3,EP,1.1526896115052128
MOEAD,ZDT2,3,HV,0.0
MOEAD,ZDT2,4,GD,0.35837333366496393
MOEAD,ZDT2,4,EP,1.3217215324606864
MOEAD,ZDT2,4,HV,0.0
MOEAD,ZDT2,5,GD,0.4506855687505349
MOEAD,ZDT2,5,EP,1.3991151704325007
MOEAD,ZDT2,5,HV,0.0
MOEAD,ZDT2,6,GD,0.4736858162833961
MOEAD,ZDT2,6,EP,1.107471085994268
MOEAD,ZDT2,6,HV,0.0
MOEAD,ZDT2,7,GD,0.3407700103643755
MOEAD,ZDT2,7,EP,1.301849696886258
MOEAD,ZDT2,7,HV,0.0
MOEAD,ZDT2,8,GD,0.3796733011627835
MOEAD,ZDT2,8,EP,0.5456462586258067
MOEAD,ZDT2,8,HV,0.05838884330671387
MOEAD,ZDT2,9,GD,0.1714272466254136
MOEAD,ZDT2,9,EP,1.126168397055991
MOEAD,ZDT2,9,HV,0.0
MOEAD,ZDT2,0,Time,7.0909998416900635
MOEAD,ZDT2,1,Time,7.264000415802002
MOEAD,ZDT2,10,Time,6.898000240325928
MOEAD,ZDT2,11,Time,6.731027841567993
MOEAD,ZDT2,12,Time,6.773996114730835
MOEAD,ZDT2,13,Time,7.31400203704834
MOEAD,ZDT2,14,Time,6.853024959564209
MOEAD,ZDT2,15,Time,6.846140146255493
MOEAD,ZDT2,16,Time,7.1390297412872314
MOEAD,ZDT2,17,Time,7.66100001335144
MOEAD,ZDT2,18,Time,7.087000370025635
MOEAD,ZDT2,19,Time,7.171027183532715
MOEAD,ZDT2,2,Time,6.975031614303589
MOEAD,ZDT2,20,Time,6.662027835845947
MOEAD,ZDT2,21,Time,7.113029479980469
MOEAD,ZDT2,22,Time,7.157099485397339
MOEAD,ZDT2,23,Time,6.652998685836792
MOEAD,ZDT2,24,Time,6.8170294761657715
MOEAD,ZDT2,25,Time,6.844032049179077
MOEAD,ZDT2,26,Time,7.539023160934448
MOEAD,ZDT2,27,Time,6.712001323699951
MOEAD,ZDT2,28,Time,6.665998458862305
MOEAD,ZDT2,29,Time,7.1490256786346436
MOEAD,ZDT2,3,Time,7.789024353027344
MOEAD,ZDT2,4,Time,6.6709983348846436
MOEAD,ZDT2,5,Time,6.550972938537598
MOEAD,ZDT2,6,Time,6.854027271270752
MOEAD,ZDT2,7,Time,6.590968608856201
MOEAD,ZDT2,8,Time,7.773972034454346
MOEAD,ZDT2,9,Time,7.531999111175537
MOEAD,ZDT3,0,GD,0.19276658856125484
MOEAD,ZDT3,0,EP,0.4996195598194587
MOEAD,ZDT3,0,HV,0.618817046230071
MOEAD,ZDT3,1,GD,0.23595497317458927
MOEAD,ZDT3,1,EP,0.6230271520237903
MOEAD,ZDT3,1,HV,0.5358963131025747
MOEAD,ZDT3,10,GD,0.30891571367134296
MOEAD,ZDT3,10,EP,0.7431490267770724
MOEAD,ZDT3,10,HV,0.43490531644845387
MOEAD,ZDT3,11,GD,0.24604321922598765
MOEAD,ZDT3,11,EP,0.5147575628669077
MOEAD,ZDT3,11,HV,0.5401705450741422
MOEAD,ZDT3,12,GD,0.2062034966479667
MOEAD,ZDT3,12,EP,0.5154157982530638
MOEAD,ZDT3,12,HV,0.6098235662651804
MOEAD,ZDT3,13,GD,0.20751700481732357
MOEAD,ZDT3,13,EP,0.3528141515222396
MOEAD,ZDT3,13,HV,0.6199149768612637
MOEAD,ZDT3,14,GD,0.20378474021980758
MOEAD,ZDT3,14,EP,0.6159964804984707
MOEAD,ZDT3,14,HV,0.57191720800448
MOEAD,ZDT3,15,GD,0.21460482744264936
MOEAD,ZDT3,15,EP,0.6651115241599478
MOEAD,ZDT3,15,HV,0.5487925570831161
MOEAD,ZDT3,16,GD,0.247692707703516
MOEAD,ZDT3,16,EP,0.794840917598406
MOEAD,ZDT3,16,HV,0.4623970572263856
MOEAD,ZDT3,17,GD,0.28850352933386963
MOEAD,ZDT3,17,EP,0.6169659206201609
MOEAD,ZDT3,17,HV,0.47411585178885995
MOEAD,ZDT3,18,GD,0.16429528883288355
MOEAD,ZDT3,18,EP,0.6548554004994435
MOEAD,ZDT3,18,HV,0.611705475649796
MOEAD,ZDT3,19,GD,0.18474051487528775
MOEAD,ZDT3,19,EP,0.6636871973585681
MOEAD,ZDT3,19,HV,0.5594044747430795
MOEAD,ZDT3,2,GD,0.1598631115619471
MOEAD,ZDT3,2,EP,0.35889174095197013
MOEAD,ZDT3,2,HV,0.6598773419634734
MOEAD,ZDT3,20,GD,0.3116084343379552
MOEAD,ZDT3,20,EP,0.7672177073336842
MOEAD,ZDT3,20,HV,0.41522713572210324
MOEAD,ZDT3,21,GD,0.23326073080725962
MOEAD,ZDT3,21,EP,0.5765703330785742
MOEAD,ZDT3,21,HV,0.5358716017694214
